PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthRet,MthVol,ShrOut,DisFacPr,vwretd
84398,78462F10,SPY,46699,2012-10-31,141.350000,-0.018198,2719914500,771382,,-0.014055
84398,78462F10,SPY,46699,2012-11-30,142.155000,0.005695,3032767700,774432,,0.006217
84398,78462F10,SPY,46699,2012-12-31,142.410000,0.008963,2890499800,868582,0.000000,0.012569
84398,78462F10,SPY,46699,2013-01-31,149.700000,0.051190,2587139300,852632,,0.054142
84398,78462F10,SPY,46699,2013-02-28,151.610000,0.012759,2581458300,808182,,0.008282
84398,78462F10,SPY,46699,2013-03-28,156.670000,0.037975,2331212300,829132,0.000000,0.035295
84398,78462F10,SPY,46699,2013-04-30,159.680000,0.019212,2907033500,824082,,0.014939
84398,78462F10,SPY,46699,2013-05-31,163.445000,0.023578,2781594900,848132,,0.019128
84398,78462F10,SPY,46699,2013-06-28,160.420000,-0.013330,3533328300,833282,0.000000,-0.015072
84398,78462F10,SPY,46699,2013-07-31,168.710000,0.051677,2331129400,909882,,0.052658
84398,78462F10,SPY,46699,2013-08-30,163.650000,-0.029992,2283239400,835382,,-0.025750
84398,78462F10,SPY,46699,2013-09-30,168.010000,0.031681,2246638600,868332,0.000000,0.037497
84398,78462F10,SPY,46699,2013-10-31,175.790000,0.046307,2901740300,901282,,0.039888
84398,78462F10,SPY,46699,2013-11-29,181.000000,0.029638,1930952100,901932,,0.024956
84398,78462F10,SPY,46699,2013-12-31,184.690000,0.025896,2232670000,945832,0.000000,0.026140
84398,78462F10,SPY,46699,2014-01-31,178.180000,-0.035248,2530649400,861532,,-0.030020
84398,78462F10,SPY,46699,2014-02-28,186.290000,0.045516,2394183500,848982,,0.046198
84398,78462F10,SPY,46699,2014-03-31,187.010000,0.008311,2554082542,847432,0.000000,0.004540
84398,78462F10,SPY,46699,2014-04-30,188.310000,0.006951,2345900090,847782,,0.001573
84398,78462F10,SPY,46699,2014-05-30,192.680000,0.023206,1780157245,829282,,0.020254
84398,78462F10,SPY,46699,2014-06-30,195.720000,0.020633,1675360233,860882,0.000000,0.027973
84398,78462F10,SPY,46699,2014-07-31,193.090000,-0.013438,1893838621,893732,,-0.020555
84398,78462F10,SPY,46699,2014-08-29,200.710000,0.039463,1829884873,857932,,0.040205
84398,78462F10,SPY,46699,2014-09-30,197.020000,-0.013791,2106580212,920532,0.000000,-0.025196
84398,78462F10,SPY,46699,2014-10-31,201.660000,0.023551,3943067849,909532,,0.021164
84398,78462F10,SPY,46699,2014-11-28,207.200000,0.027472,1571225009,968282,,0.021104
84398,78462F10,SPY,46699,2014-12-31,205.540000,-0.002560,3045170843,1050482,0.000000,-0.003659
84398,78462F10,SPY,46699,2015-01-30,199.450000,-0.029629,3183506003,917832,,-0.027163
84398,78462F10,SPY,46699,2015-02-27,210.660000,0.056205,1901638015,920932,,0.055915
84398,78462F10,SPY,46699,2015-03-31,206.430000,-0.015745,2749923019,895932,0.000000,-0.010397
84398,78462F10,SPY,46699,2015-04-30,208.460000,0.009834,2036685271,853082,,0.008766
84398,78462F10,SPY,46699,2015-05-29,211.140000,0.012856,1892519799,836332,,0.010277
84398,78462F10,SPY,46699,2015-06-30,205.850000,-0.020291,2535242753,840132,0.000000,-0.019231
84398,78462F10,SPY,46699,2015-07-31,210.500000,0.022589,2452757863,849182,,0.012108
84398,78462F10,SPY,46699,2015-08-31,197.670000,-0.060950,3734926746,840732,,-0.059926
84398,78462F10,SPY,46699,2015-09-30,191.630000,-0.025430,3279512868,878782,0.000000,-0.033756
84398,78462F10,SPY,46699,2015-10-30,207.930000,0.085060,2536184532,876332,,0.073937
84398,78462F10,SPY,46699,2015-11-30,208.690000,0.003655,1924512621,866082,,0.002404
84398,78462F10,SPY,46699,2015-12-31,203.870000,-0.017179,2924884742,902532,0.000000,-0.022209
84398,78462F10,SPY,46699,2016-01-29,193.720800,-0.049783,3712951060,893082,,-0.057085
84398,78462F10,SPY,46699,2016-02-29,193.560000,-0.000830,2920730619,879832,,0.000620
84398,78462F10,SPY,46699,2016-03-31,205.520000,0.067243,2323306273,892782,0.000000,0.070491
84398,78462F10,SPY,46699,2016-04-29,206.330800,0.003945,1910635495,904932,,0.011718
84398,78462F10,SPY,46699,2016-05-31,209.840000,0.017008,1834562504,880582,,0.014340
84398,78462F10,SPY,46699,2016-06-30,209.475000,0.003473,2630619702,846432,0.000000,0.002947
84398,78462F10,SPY,46699,2016-07-29,217.120000,0.036496,1648453879,911132,,0.038815
84398,78462F10,SPY,46699,2016-08-31,217.380000,0.001197,1519703229,911932,,0.002800
84398,78462F10,SPY,46699,2016-09-30,216.300000,0.000078,2303701186,919082,0.000000,0.003013
84398,78462F10,SPY,46699,2016-10-31,212.550000,-0.017337,1725688165,918932,,-0.021544
84398,78462F10,SPY,46699,2016-11-30,220.380000,0.036838,2073824327,948732,,0.040488
84398,78462F10,SPY,46699,2016-12-30,223.530000,0.020283,1821910161,1004882,0.000000,0.018763
84398,78462F10,SPY,46699,2017-01-31,227.530000,0.017895,1482408638,1002282,,0.022153
84398,78462F10,SPY,46699,2017-02-28,236.470000,0.039292,1365136521,995182,,0.032598
84398,78462F10,SPY,46699,2017-03-31,235.740000,0.001258,1921473790,1022832,0.000000,0.002062
84398,78462F10,SPY,46699,2017-04-28,238.080000,0.009926,1549613618,997332,,0.009655
84398,78462F10,SPY,46699,2017-05-31,241.440000,0.014113,1494800517,974732,,0.009335
84398,78462F10,SPY,46699,2017-06-30,241.800000,0.006374,1572752876,978982,0.000000,0.009571
84398,78462F10,SPY,46699,2017-07-31,246.770000,0.020554,1062993341,977782,,0.020277
84398,78462F10,SPY,46699,2017-08-31,247.490000,0.002918,1557031716,998132,,0.001600
84398,78462F10,SPY,46699,2017-09-29,251.230000,0.020141,1286405280,966882,0.000000,0.023729
84398,78462F10,SPY,46699,2017-10-31,257.150000,0.023564,1320624558,988532,,0.019275
84398,78462F10,SPY,46699,2017-11-30,265.010000,0.030566,1365621034,958232,,0.027231
84398,78462F10,SPY,46699,2017-12-29,266.860000,0.012087,1715222830,1043032,0.000000,0.012122
84398,78462F10,SPY,46699,2018-01-31,281.900000,0.056359,1996090155,1073632,,0.050577
84398,78462F10,SPY,46699,2018-02-28,271.650000,-0.036360,2923721958,1007132,,-0.039454
84398,78462F10,SPY,46699,2018-03-29,263.150000,-0.027416,2336204952,973232,0.000000,-0.018421
84398,78462F10,SPY,46699,2018-04-30,264.510000,0.005168,2000511426,959782,,0.004679
84398,78462F10,SPY,46699,2018-05-31,270.940000,0.024309,1606397229,976482,,0.026146
84398,78462F10,SPY,46699,2018-06-29,271.280000,0.005755,1600850333,955882,0.000000,0.005359
84398,78462F10,SPY,46699,2018-07-31,281.330000,0.037047,1266961027,961682,,0.031573
84398,78462F10,SPY,46699,2018-08-31,290.310000,0.031920,1308443632,963332,,0.030226
84398,78462F10,SPY,46699,2018-09-28,290.720000,0.005948,1228103251,964832,0.000000,0.000425
84398,78462F10,SPY,46699,2018-10-31,270.630000,-0.069104,3024346032,945932,,-0.074045
84398,78462F10,SPY,46699,2018-11-30,275.650000,0.018549,2021061342,965682,,0.018512
84398,78462F10,SPY,46699,2018-12-31,249.920000,-0.087936,3102621849,985582,0.000000,-0.089890
84398,78462F10,SPY,46699,2019-01-31,269.930000,0.080066,2048691645,932582,,0.088294
84398,78462F10,SPY,46699,2019-02-28,278.680000,0.032416,1371716235,937982,,0.032724
84398,78462F10,SPY,46699,2019-03-29,282.480000,0.018079,1678081316,932732,0.000000,0.012962
84398,78462F10,SPY,46699,2019-04-30,294.020000,0.040852,1209204906,947082,,0.037893
84398,78462F10,SPY,46699,2019-05-31,275.270000,-0.063771,1845593139,907082,,-0.061679
84398,78462F10,SPY,46699,2019-06-28,293.000000,0.069593,1340435548,917132,0.000000,0.067279
84398,78462F10,SPY,46699,2019-07-31,297.430000,0.015119,1135591780,931932,,0.011854
84398,78462F10,SPY,46699,2019-08-30,292.450000,-0.016743,2042337708,894182,,-0.020339
84398,78462F10,SPY,46699,2019-09-30,296.770000,0.019479,1327471026,927532,0.000000,0.016033
84398,78462F10,SPY,46699,2019-10-31,303.330000,0.022105,1413292562,909682,,0.019257
84398,78462F10,SPY,46699,2019-11-29,314.310000,0.036198,1040439986,912182,,0.034999
84398,78462F10,SPY,46699,2019-12-31,321.860000,0.029034,1290525636,953832,0.000000,0.028489
84398,78462F10,SPY,46699,2020-01-31,321.730000,-0.000404,1395439668,954832,,-0.001728
84398,78462F10,SPY,46699,2020-02-28,296.260000,-0.079166,2111278756,894832,,-0.077918
